node_id,block,name,type,floor,x,y,qr_code
F1_N01,1,Main Entrance,entrance,1,10,85,CAMPUSNAV:F1_N01
F1_N02,1,Reception,amenity,1,20,85,CAMPUSNAV:F1_N02
F1_N03,1,Main Junction,junction,1,35,85,CAMPUSNAV:F1_N03
F1_N04,1,Room 101,room,1,55,85,CAMPUSNAV:F1_N04
F1_N05,1,Room 102,room,1,75,85,CAMPUSNAV:F1_N05
F1_N06,1,Corridor Junction A,junction,1,35,60,CAMPUSNAV:F1_N06
F1_N07,1,Room 103,room,1,55,60,CAMPUSNAV:F1_N07
F1_N08,1,Room 104,room,1,75,60,CAMPUSNAV:F1_N08
F1_N09,1,Staircase A,stair,1,35,35,CAMPUSNAV:F1_N09
F1_N10,1,Lift A,lift,1,75,35,CAMPUSNAV:F1_N10
F1_N11,1,Corridor Junction B,junction,1,55,35,CAMPUSNAV:F1_N11
F1_N12,1,Restroom,amenity,1,90,35,CAMPUSNAV:F1_N12
F2_N01,1,Staircase A,stair,2,35,75,CAMPUSNAV:F2_N01
F2_N02,1,Lift A,lift,2,75,75,CAMPUSNAV:F2_N02
F2_N03,1,Main Junction,junction,2,55,75,CAMPUSNAV:F2_N03
F2_N04,1,Room 201,room,2,20,75,CAMPUSNAV:F2_N04
F2_N05,1,Room 202,room,2,20,50,CAMPUSNAV:F2_N05
F2_N06,1,Room 203,room,2,50,50,CAMPUSNAV:F2_N06
F2_N07,1,Room 204,room,2,80,50,CAMPUSNAV:F2_N07
F2_N08,1,Lab 1,room,2,20,25,CAMPUSNAV:F2_N08
F2_N09,1,Lab 2,room,2,50,25,CAMPUSNAV:F2_N09
F2_N10,1,Seminar Hall,room,2,80,25,CAMPUSNAV:F2_N10
F2_N11,1,Restroom,amenity,2,90,75,CAMPUSNAV:F2_N11
F3_N01,1,Staircase A,stair,3,35,75,CAMPUSNAV:F3_N01
F3_N02,1,Lift A,lift,3,75,75,CAMPUSNAV:F3_N02
F3_N03,1,Main Junction,junction,3,55,75,CAMPUSNAV:F3_N03
F3_N04,1,Room 301,room,3,20,75,CAMPUSNAV:F3_N04
F3_N05,1,Room 302,room,3,20,50,CAMPUSNAV:F3_N05
F3_N06,1,Faculty Room,room,3,50,50,CAMPUSNAV:F3_N06
F3_N07,1,Project Lab,room,3,80,50,CAMPUSNAV:F3_N07
F3_N08,1,Research Lab,room,3,20,25,CAMPUSNAV:F3_N08
F3_N09,1,Conference Room,room,3,50,25,CAMPUSNAV:F3_N09
F3_N10,1,Department Office,amenity,3,80,25,CAMPUSNAV:F3_N10
F3_N11,1,Restroom,amenity,3,90,75,CAMPUSNAV:F3_N11
